"Name","ConnectionState","PowerState","Cluster"
"woksu239.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster1"
"woksu231.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster1"
"woksu241.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster1"
"woksu201.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster1"
"woksu203.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster1"
"woksu209.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster1"
"woksu217.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster1"
"woksu219.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster1"
"woksu225.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster1"
"woksu233.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster1"
"woksu211.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster1"
"woksu227.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster1"
"woksu235.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster1"
"woksu243.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster1"
"woksu200.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster2"
"woksu206.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster2"
"woksu208.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster2"
"woksu214.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster2"
"woksu216.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster2"
"woksu222.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster2"
"woksu224.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster2"
"woksu230.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster2"
"woksu232.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster2"
"woksu238.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster2"
"woksu240.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster2"
"woksu198.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster2"
"woksu202.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster2"
"woksu210.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster2"
"woksu212.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster2"
"woksu218.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster2"
"woksu226.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster2"
"woksu228.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster2"
"woksu234.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster2"
"woksu242.oamp.sgns.net","Connected","PoweredOn","wok1pod3cluster2"
"woksu105.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster1"
"woksu113.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster1"
"woksu121.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster1"
"woksu129.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster1"
"woksu69.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster1"
"woksu79.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster1"
"woksu71.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster1"
"woksu73.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster1"
"woksu81.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster1"
"woksu87.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster1"
"woksu95.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster1"
"woksu103.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster1"
"woksu111.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster1"
"woksu119.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster1"
"woksu127.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster1"
"woksu101.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster1"
"woksu109.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster1"
"woksu117.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster1"
"woksu125.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster1"
"woksu77.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster1"
"woksu85.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster1"
"woksu89.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster1"
"woksu93.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster1"
"woksu97.oamp.sgns.net","Connected","PoweredOn","wok1pod1cluster1"
